Epoch,Loss (Cross-Entropy),Perplexity,Accuracy,Avg Levenshtein,Execution Time (s)
1,4.027017475778932,56.09336853027344,55.25993217384198,2.7376625852934366,66.55450701713562
2,1.438900632701042,4.216058254241943,83.59083665881263,1.139851272761941,68.52532124519348
3,0.833271783702627,2.3008344173431396,89.65065442708688,0.7208272612124266,68.38252401351929
4,0.5463206431907407,1.7268874645233154,92.23308772455498,0.5372662517194885,68.48667550086975
5,0.37732064118295466,1.458371877670288,93.8031679446495,0.42260054751235987,68.46496176719666
6,0.273049607171024,1.3139654397964478,95.09704043692031,0.3257861977854351,68.77647614479065
7,0.21711486024458668,1.242486834526062,95.95521839205699,0.259657055690996,68.605060338974
8,0.19011216478304457,1.2093852758407593,96.34160957738038,0.23189463791999781,68.55359935760498
9,0.176948570015854,1.1935696601867676,96.4922435749016,0.2202416136632935,68.64505743980408
10,0.16569789730684273,1.1802165508270264,96.63538673167808,0.2103564278223445,68.50984716415405
11,0.15778391719024884,1.1709131002426147,96.70198711575392,0.20585375154924207,68.4176938533783
12,0.1511895811012263,1.1632171869277954,96.79500973809297,0.19967585089141004,68.59846448898315
13,0.14353380597937315,1.1543458700180054,96.90029009983247,0.19289323508982198,68.5963020324707
14,0.13635327026227922,1.1460866928100586,96.98922680903804,0.18620868120343761,68.71068668365479
15,0.1310054789702151,1.1399739980697632,97.05446522206938,0.1823502172343816,68.71601390838623
16,0.1253961907501657,1.133597493171692,97.16710022744917,0.17486346240278933,68.55770945549011
17,0.11981073190855467,1.1272834539413452,97.24704792776106,0.16980646391457718,68.75417232513428
18,0.11498873343899305,1.1218607425689697,97.33843618484671,0.1633684267872465,68.8308596611023
19,0.11296504969090665,1.1195927858352661,97.35191969818722,0.16286722144287213,68.8436484336853
20,0.10643130274612361,1.1123014688491821,97.48729962001008,0.15434945453059667,69.25176548957825
21,0.10355296078191953,1.1091045141220093,97.51957833376463,0.15218528254089317,68.86916851997375
22,0.09943892181541364,1.1045509576797485,97.59353336148074,0.14660120125846124,68.68987512588501
23,0.09651773986011784,1.1013290882110596,97.64256431908258,0.14388270705364803,68.64140319824219
24,0.0929686820152069,1.0974273681640625,97.71120765972515,0.1395053321166392,68.65447950363159
25,0.09057010231416768,1.09479820728302,97.75220298816447,0.13667107037304388,68.63857698440552
26,0.08721056263166835,1.0911264419555664,97.80354929654196,0.1332974680958283,68.59477877616882
27,0.08312179627019817,1.0866742134094238,97.89357558258311,0.12741239121256281,68.57588458061218
28,0.0812362548650755,1.0846271514892578,97.94560287648285,0.12400201571714585,68.82969045639038
29,0.07992753088173443,1.0832085609436035,97.95486427958542,0.12329242880296365,68.70420622825623
30,0.0769297449898431,1.0799661874771118,98.02623156231698,0.1188864524740204,68.64276933670044
31,0.07396097700606685,1.0767648220062256,98.09569208558626,0.11430069596720374,68.52495861053467
32,0.07101245929423124,1.073594570159912,98.1474469852771,0.11141059341078409,68.63456773757935
33,0.07014907969971605,1.0726680755615234,98.1735968293314,0.10929817632077142,68.80252695083618
34,0.06803563984504539,1.0704034566879272,98.23202538714027,0.10546831374364982,68.75045084953308
35,0.06628840948889987,1.0685348510742188,98.2568132601501,0.1042970186453836,68.39125943183899
36,0.06459518219187635,1.0667271614074707,98.29821717990275,0.10192037917273879,68.56450986862183
37,0.06293241732815233,1.0649548768997192,98.3299511052395,0.10020020974354085,68.43775701522827
38,0.06027520038839304,1.0621287822723389,98.38715388910832,0.09649428653146834,68.18118977546692
39,0.05814144652321794,1.05986487865448,98.45116652819961,0.09263037467823435,68.41666913032532
40,0.05690262839448805,1.0585527420043945,98.4692807430914,0.09160481048172917,68.58415102958679
41,0.05682601691204879,1.0584716796875,98.46451384443567,0.09195892295329801,68.32876205444336
